"";"grate.2";"grate.4";"grate.15";"grate.16";"grate.17";"grate.20";"grate.22";"grate.25";"grate.26";"grate.27";"grate.36";"grate.43";"grate.54";"grate.70";"grate.72";"grate.80";"grate.97";"grate.98";"grate.100";"grate.101";"grate.104";"grate.106";"grate.109";"grate.112";"grate.113";"grate.127";"grate.128";"grate.133";"grate.137";"grate.141";"grate.145";"grate.146";"grate.151";"grate.156";"grate.174";"grate.175";"grate.189";"grate.190";"grate.197";"grate.209";"grate.217";"grate.220";"grate.227";"grate.228";"grate.229";"grate.231";"grate.233";"grate.240";"grate.262";"grate.263";"grate.264";"grate.274";"grate.277";"grate.283";"grate.286";"grate.288";"grate.294";"grate.300";"grate.303";"grate.309";"grate.315";"grate.323";"grate.327";"grate.328";"grate.333";"grate.335";"grate.352";"grate.353";"grate.355";"grate.360";"grate.362";"grate.363";"grate.364";"grate.365";"grate.366";"grate.371";"grate.373";"grate.375";"grate.377";"grate.379";"grate.381";"grate.383";"grate.385";"grate.388";"grate.391";"grate.398";"grate.399";"grate.400";"grate.411";"grate.413";"grate.415";"grate.416";"grate.420";"grate.422";"grate.427";"grate.429";"grate.434";"grate.438";"grate.446";"grate.451";"grate.457";"grate.462";"grate.465";"grate.470";"grate.473";"grate.477";"grate.482";"grate.485";"grate.488";"grate.490";"grate.497";"grate.501";"grate.507";"grate.512";"grate.513";"grate.525";"grate.534";"grate.535";"grate.537";"grate.541";"grate.546";"grate.547";"grate.556";"grate.560";"grate.562";"grate.568";"grate.570";"grate.571";"grate.595";"grate.599";"grate.603";"grate.604";"grate.613";"grate.624";"grate.625";"grate.628";"grate.632";"grate.642";"grate.643";"grate.644";"grate.646";"grate.651";"grate.652";"grate.653";"grate.656";"grate.668";"grate.670";"grate.690";"grate.698";"grate.699";"grate.704";"grate.709";"grate.714";"grate.718";"grate.736";"grate.740";"grate.741";"grate.744";"grate.745";"grate.747";"grate.749";"grate.751";"grate.759";"grate.760";"grate.781";"grate.784";"grate.787";"grate.794";"grate.797";"grate.798";"grate.800";"grate.802";"grate.806";"grate.808";"grate.819";"grate.820";"grate.822";"grate.826"
"3";NA;NA;0,030772;0,030025;0,029995;NA;NA;0,031131;NA;0,030693;NA;0,026726;0,02804;NA;0,03078;0,03021;0,024202;NA;NA;NA;0,033922;NA;0,028449;0,030153;0,030364;0,031031;0,032016;NA;0,027598;0,041748;0,029494;NA;0,026865;0,029909;0,029868;0,026998;0,031024;0,030785;0,029218;NA;0,031989;NA;0,026783;NA;0,034871;0,032057;0,032856;0,02822;NA;0,031272;0,029783;0,028326;0,029595;NA;0,030942;0,030338;0,031354;0,028896;0,032727;NA;0,029661;0,032129;NA;0,028937;NA;0,025855;0,03188;0,034183;0,031905;NA;NA;0,032398;0,027493;0,030187;0,031387;0,028492;0,030176;0,026649;0,025374;0,030115;NA;0,028932;0,028284;0,03068;0,03006;0,032297;0,029324;0,03188;0,029517;0,029038;NA;NA;0,031572;NA;0,027861;0,030952;0,029643;0,030749;0,029282;0,03137;0,032511;0,027607;0,030874;NA;0,031557;0,028846;0,030441;0,03162;0,029016;0,027669;0,028548;0,029157;0,028927;NA;NA;0,030155;0,033395;0,032072;NA;NA;NA;0,02722;0,030962;0,029664;0,031675;0,031401;0,027981;NA;0,026954;0,029187;0,029427;0,029417;0,02941;0,031533;0,031745;0,032267;NA;0,028034;0,030759;0,027695;NA;0,027959;NA;NA;0,02799;NA;0,035779;0,02994;0,033019;0,027662;0,030505;0,029989;0,03408;0,031269;0,028404;0,027268;NA;0,031576;NA;NA;NA;0,027614;NA;0,028063;NA;0,033056;0,028061;0,026509;0,030218;NA;0,033551;0,034381;0,031595;NA;0,027013;NA;NA;0,029521
"4";0,032493;NA;0,030772;0,030025;0,029995;0,029349;NA;0,031131;NA;0,030693;NA;0,026726;0,02804;NA;0,03078;0,03021;0,024202;NA;0,031833;NA;0,033922;NA;0,028449;0,030153;0,030364;0,031031;0,032016;0,031282;0,027598;0,041748;0,029494;NA;0,026865;0,029909;0,029868;0,026998;0,031024;0,030785;0,029218;NA;0,031989;0,027849;0,026783;NA;0,034871;0,032057;0,032856;0,02822;NA;0,031272;0,029783;0,028326;0,029595;NA;0,030942;0,030338;0,031354;0,028896;0,032727;NA;0,029661;0,032129;0,027803;0,028937;0,027602;0,025855;0,03188;0,034183;0,031905;0,026818;0,026612;0,032398;0,027493;0,030187;0,031387;0,028492;0,030176;0,026649;0,025374;0,030115;NA;0,028932;0,028284;0,03068;0,03006;0,032297;0,029324;0,03188;0,029517;0,029038;0,026989;NA;0,031572;0,025584;0,027861;0,030952;0,029643;0,030749;0,029282;0,03137;0,032511;0,027607;0,030874;0,027093;0,031557;0,028846;0,030441;0,03162;0,029016;0,027669;0,028548;0,029157;0,028927;NA;0,026801;0,030155;0,033395;0,032072;NA;0,029297;NA;0,02722;0,030962;0,029664;0,031675;0,031401;0,027981;0,02952;0,026954;0,029187;0,029427;0,029417;0,02941;0,031533;0,031745;0,032267;0,028691;0,028034;0,030759;0,027695;0,030529;0,027959;0,029525;0,032958;0,02799;0,028796;0,035779;0,02994;0,033019;0,027662;0,030505;0,029989;0,03408;0,031269;0,028404;0,027268;0,032505;0,031576;0,032141;NA;0,028683;0,027614;0,02962;0,028063;0,031188;0,033056;0,028061;0,026509;0,030218;NA;0,033551;0,034381;0,031595;NA;0,027013;NA;NA;0,029521
"5";0,032493;0,028709;0,030772;0,030025;0,029995;0,029349;0,026782;0,030766;0,030479;0,031066;0,029005;0,026726;0,02804;0,028232;0,03078;0,03021;0,024202;NA;0,031833;0,030866;0,033922;0,030237;0,028449;0,030153;0,030364;0,031031;0,032016;0,031282;0,027598;0,028936;0,029494;0,031122;0,026865;0,029909;0,029868;0,026998;0,031024;0,030785;0,029218;NA;0,031989;0,027849;0,026783;NA;0,03036;0,032999;0,032856;0,02822;NA;0,031272;0,029783;0,028326;0,03185;0,027791;0,030942;0,030338;0,031354;0,028896;0,032046;NA;0,029661;0,032129;0,027803;0,028937;0,027602;0,025855;0,03188;0,034183;0,031905;0,026818;0,026612;0,032398;0,027493;0,030187;0,029673;0,028492;0,030176;0,026649;0,025374;0,032124;NA;0,028932;0,025008;0,03068;0,03006;0,032297;0,029324;0,03188;0,030038;0,029038;0,026989;NA;0,031572;0,025584;0,027861;0,030952;0,029643;0,030749;0,029282;0,03137;0,032511;0,027607;0,033291;0,027093;0,030397;0,028846;0,030441;0,03162;0,030037;0,027669;0,028548;0,031396;0,028927;NA;0,026801;0,030155;0,033395;0,032072;0,029427;0,029297;0,028919;0,02722;0,030962;0,029664;0,031075;0,031401;0,027981;0,02952;0,026954;0,029187;0,028634;0,029417;0,02941;0,031533;0,031745;0,032267;0,028691;0,028034;0,030759;0,027695;0,030529;0,031278;0,029525;0,032958;0,02799;0,028796;0,030459;0,02994;0,033019;0,027662;0,030505;0,030412;0,03408;0,031269;0,028404;0,027268;0,032505;0,031576;0,032141;0,026033;0,028683;0,027614;0,02962;0,028063;0,031188;0,033056;0,029875;0,026509;0,030218;NA;0,033551;0,034381;0,028218;NA;0,027013;NA;NA;0,029521
"6";0,032493;0,028709;0,030772;0,030025;0,029995;0,029349;0,026782;0,030766;0,030479;0,031066;0,029005;0,026726;0,02804;0,028232;0,029663;0,03021;0,024202;NA;0,031833;0,030866;0,033922;0,030237;0,028449;0,030153;0,030364;0,031031;0,026227;0,031282;0,022958;0,028936;0,029494;0,031122;0,026865;0,029909;0,029868;0,026998;0,030015;0,030785;0,027562;NA;0,031989;0,027849;0,026783;NA;0,03036;0,032999;0,029566;0,02822;NA;NA;0,029783;0,028326;0,03185;0,027791;0,030942;0,030338;0,031354;0,024231;0,032046;NA;0,02998;0,02928;0,027803;0,028937;0,027602;0,025855;0,03188;0,031688;0,031905;0,026818;0,026612;0,029248;0,027493;0,030187;0,029673;0,033727;0,030176;0,026649;0,026151;0,032124;0,02831;0,028932;0,025008;0,028353;0,028003;0,032297;0,029324;0,03188;0,030038;0,029038;0,026989;NA;0,032209;0,029622;0,027861;0,030952;0,029643;0,027288;0,029282;0,03143;0,030734;0,027607;0,033291;0,027093;0,030397;0,028846;0,030441;0,03162;0,030037;0,027669;0,028548;0,031396;0,028927;NA;0,026801;0,030155;0,032282;0,032072;0,029427;0,029297;0,028919;0,02722;0,028584;0,029664;0,031075;0,030639;0,027981;0,02952;0,030751;0,029187;0,028634;0,030884;0,02941;0,028313;0,031929;0,032267;0,028691;0,028034;0,030759;0,028335;0,030529;0,031278;0,029525;0,032958;0,02799;0,028796;0,030459;0,02994;0,028814;0,027662;0,030505;0,030412;0,03408;0,031269;0,028404;0,027268;0,032505;0,031576;0,032141;0,026033;0,028683;0,027614;0,02962;0,028063;0,031188;0,033056;0,029875;0,029036;0,030218;NA;0,033551;0,02956;0,028218;0,030445;0,027013;NA;NA;0,029521
"7";0,032493;0,028709;0,028272;0,03387;0,029995;0,029349;0,026782;0,030766;0,030479;0,031066;0,029005;0,024939;0,02804;0,028232;0,029663;0,03021;0,024202;0,031681;NA;0,030866;0,032105;0,030237;0,025843;0,030153;0,029746;0,031031;0,026227;0,031282;0,022958;0,028936;0,029494;0,031122;0,026865;0,030632;0,027777;0,026998;0,030015;0,030785;0,027562;0,028878;0,031989;0,027849;0,026783;NA;0,03036;0,032999;0,029566;0,02822;NA;NA;0,029783;0,028326;0,03185;0,027791;0,030942;0,029639;0,031354;0,024231;0,032046;0,029149;0,02998;0,02928;0,027803;0,026338;0,027602;0,025855;0,03188;0,031688;0,02976;0,026818;0,026612;0,029248;0,028199;0,032091;0,029673;0,033727;0,029828;0,026649;0,026151;0,032124;0,02831;0,028932;0,025008;0,028353;0,028003;0,028566;0,030222;0,030832;0,030038;0,029038;0,026989;NA;0,032209;0,029622;0,032408;0,0295;0,029643;0,027288;0,029282;0,03143;0,030734;0,027607;0,033291;0,026644;0,030397;0,028846;0,030441;0,03162;0,030037;0,027669;0,028702;0,031396;0,028927;0,028368;0,026801;0,027908;0,032282;0,032072;0,029427;0,029297;0,028919;0,023822;0,028584;0,029664;0,031075;0,030639;0,027981;0,02952;0,030751;0,029187;0,028634;0,030884;0,02941;0,028313;0,031929;0,032267;0,028691;0,028034;0,030484;0,028335;0,030529;0,031278;0,029525;0,032958;0,02799;0,028796;0,030459;0,02994;0,028814;0,027662;0,027458;0,030412;0,029617;0,029362;0,029136;0,027268;0,032505;0,031576;0,032141;0,026033;0,028683;0,027614;0,02962;0,028063;0,031188;0,033056;0,029875;0,029036;0,030218;NA;0,035823;0,02956;0,028218;0,030445;0,027869;NA;0,027896;0,029521
"8";0,02961;0,028709;0,028272;0,03387;0,029995;0,029349;0,026782;0,030766;0,030479;0,031066;0,029005;0,024939;0,02804;0,028232;0,029663;0,03021;0,024202;0,031681;NA;0,030866;0,032105;0,030237;0,025843;0,030153;0,029746;0,026998;0,026227;0,031282;0,022958;0,028936;0,029494;0,031122;0,026865;0,030632;0,027777;0,026998;0,030015;0,030011;0,027562;0,028878;0,028951;0,027849;0,026783;NA;0,03036;0,032999;0,029566;0,026199;NA;NA;0,029783;0,028326;0,029215;0,027791;NA;0,029639;0,030646;0,024231;0,027448;0,029149;0,02998;0,02928;0,027803;0,026338;0,027602;0,029216;0,030478;0,031688;0,02976;0,026818;0,026612;0,029248;0,028199;0,032091;0,029673;0,033727;0,029828;0,026649;0,026151;0,032124;0,02831;0,028932;0,025008;0,028353;0,028003;0,028566;0,030222;0,030832;0,030038;0,031931;0,026989;NA;0,032209;0,029622;0,032408;0,0295;0,029643;0,027288;0,028248;0,03143;0,030734;0,029233;0,033291;0,026644;0,030397;0,031336;0,029499;0,02936;0,030037;0,027669;0,028702;0,031396;0,028927;0,028368;0,026801;0,027908;0,032282;0,032072;0,029427;0,029297;0,027952;0,023822;0,028584;0,029664;0,031075;0,030639;0,027981;0,02952;0,030751;0,029187;0,028634;0,030884;0,031909;0,028313;0,031929;0,032267;0,028691;0,026;0,030484;0,028335;0,030529;0,031278;0,029525;0,026729;0,02799;0,028796;0,030459;0,02994;0,028814;0,02873;0,027458;0,030412;0,029617;0,029362;0,029136;0,025982;0,032505;0,031576;0,032141;0,026033;0,028683;0,027463;0,02962;0,028063;0,031188;0,03335;0,029875;0,029036;0,026895;0,031608;0,035823;0,02956;0,028218;0,030445;0,027869;NA;0,027896;0,029521
"9";0,02961;0,028709;0,028272;0,03387;0,030432;0,027053;0,026782;0,030766;0,030479;0,031066;0,029005;0,024939;0,02804;0,028232;0,029663;0,03021;0,024202;0,031681;0,02904;0,030866;0,032105;0,030237;0,025843;0,030153;0,029746;0,026998;0,026227;0,031282;0,022958;0,028936;0,029356;0,031122;0,026865;0,030632;0,027777;0,031489;0,030015;0,030011;0,027562;0,028878;0,028951;0,026703;0,027704;NA;0,028079;0,030004;0,029566;0,026199;NA;NA;0,030793;0,028326;0,029215;0,027791;NA;0,029639;0,030646;0,024231;0,027448;0,029149;0,02998;0,030147;0,03092;0,026338;0,027602;0,029216;0,030478;0,031688;0,02976;0,027657;0,026612;0,029248;0,028199;0,032091;0,029673;0,033727;0,029828;0,027516;0,026151;0,029419;0,02831;0,029673;0,035626;0,028353;0,028003;0,028566;0,030222;0,030832;0,030038;0,031931;0,026989;NA;0,032209;0,029622;0,032408;0,0295;NA;0,027288;0,028248;0,030117;0,030734;0,029233;0,033291;0,026644;0,030397;0,031336;0,029499;0,02936;0,030037;0,027412;0,028702;0,031396;0,025241;0,028368;0,026801;0,027908;0,032282;0,032072;0,029427;0,027899;0,027952;0,023822;0,028584;0,029664;NA;0,030639;0,031708;0,02952;0,025639;0,030021;0,028634;0,030884;0,031909;0,028313;0,031929;0,029241;0,028691;0,026;0,030484;0,028335;0,029233;0,031278;0,029525;0,026729;0,031892;0,028796;0,030459;0,029957;0,028814;0,02873;0,027458;0,030412;0,029617;0,029362;0,029136;0,025982;0,032505;0,029296;0,029711;0,026033;0,0284;0,027463;0,027625;0,028187;0,031188;0,03335;0,029875;0,029036;0,026895;0,031608;0,035823;0,02956;0,028218;0,030445;0,027869;NA;0,027896;0,029521
"10";0,02961;0,031285;0,028272;0,03387;0,030432;0,027053;0,026782;0,030766;0,030479;0,031066;0,029005;0,024939;0,029654;0,028232;0,029663;0,030887;0,024202;0,031681;0,02904;0,030866;0,032105;0,029038;0,025843;0,030153;0,029746;0,026998;0,026227;0,031376;0,022958;0,031312;0,029356;0,027289;0,025431;0,030632;0,027777;0,031489;0,030015;0,030011;0,027562;0,028878;0,028951;0,026703;0,027704;0,029035;0,028079;0,030004;0,029566;0,026199;NA;NA;0,030793;0,033066;0,029215;0,027791;NA;0,029639;0,030646;0,024231;0,027448;0,029149;0,02998;0,030147;0,03092;0,026338;0,027602;0,029216;0,030478;0,031688;0,02976;0,027657;0,026612;0,029248;0,028199;0,032091;0,02704;0,030651;0,029828;0,027516;0,026151;0,029419;0,02831;0,029673;0,035626;0,028353;0,028003;0,028566;0,030222;0,030832;0,029386;0,031931;0,027728;NA;0,028915;0,029622;0,032408;0,0295;NA;0,027288;0,028248;0,030117;0,028204;0,029233;0,033405;0,026644;0,027846;0,031336;0,029499;0,02936;0,029791;0,027412;0,028702;0,031396;0,025241;0,028368;0,028678;0,027908;0,032282;0,030883;0,029388;0,027899;0,027952;0,023822;0,028584;0,029047;NA;0,030639;0,031708;0,030002;0,025639;0,030021;0,028634;0,030884;0,031909;0,028313;0,031929;0,029241;0,028691;0,026;0,030484;0,028335;0,029233;0,031542;0,025859;0,026729;0,031892;0,028796;0,030616;0,029957;0,028814;0,02873;0,027458;0,030892;0,029617;0,029362;0,029136;0,025982;0,025352;0,029296;0,029711;0,026033;0,0284;0,027463;0,027625;0,028187;0,031188;0,03335;0,026583;0,029036;0,026895;0,031608;0,035823;0,02956;0,028218;0,030445;0,027869;NA;0,027896;0,029521
"11";0,02961;0,031285;0,028272;0,02839;0,030432;0,027053;0,02864;0,030766;0,030579;0,031066;0,029005;0,024939;0,029654;0,032801;0,029663;0,030887;0,024202;0,031681;0,02904;0,029596;0,032105;0,029038;0,02445;0,030153;0,029746;0,026998;0,027019;0,031376;0,022958;0,031312;0,029356;0,027289;0,025431;0,030632;0,027777;0,031489;0,030015;0,030011;0,027562;0,028878;0,025375;0,026703;0,027704;0,029035;0,028079;0,030004;0,027765;0,026199;0,02844;NA;0,030793;0,033066;0,029215;0,027791;NA;0,028124;0,030646;0,028831;0,027448;0,025688;0,02998;0,030147;0,03092;0,027937;0,029471;0,029216;0,030478;0,03135;0,02976;0,027657;0,027603;0,029248;0,028199;0,032091;0,02704;0,030651;0,029828;0,027516;0,026151;0,029419;0,02831;0,029673;0,035626;0,026894;0,028003;0,028566;0,030222;0,030832;0,029386;0,031931;0,027728;0,029506;0,028915;0,029622;0,032408;0,0295;NA;0,025471;0,028248;0,030117;0,028204;0,029233;0,033405;0,026644;0,027846;0,031336;0,029499;0,02936;0,029791;0,027412;0,025276;0,033159;0,025241;0,028368;0,028678;0,026541;0,029881;0,030883;0,029388;0,027899;0,027952;0,023822;0,028584;0,029047;NA;0,029739;0,031708;0,030002;0,025639;0,030021;0,028634;0,027129;0,031909;0,026824;0,029673;0,029241;0,028064;0,026;0,030484;0,028335;0,029233;0,031542;0,025859;0,026729;0,031892;0,027447;0,030616;0,029957;0,028814;0,02873;0,027161;0,030892;0,026423;0,029362;0,029136;0,025982;0,025352;0,029296;0,029711;0,026033;0,0284;0,027463;0,027625;0,028187;0,031188;0,03335;0,026583;0,029036;0,026895;0,031608;0,035823;0,02956;0,028218;0,028666;0,027869;NA;0,027896;0,029521
"12";0,02961;0,031285;0,028272;0,02839;0,030432;0,027053;0,02864;0,032503;0,030579;0,030335;0,029005;0,024939;0,029654;0,032801;0,029212;0,030887;0,024747;0,028454;0,02904;0,029596;0,028347;0,029038;0,02445;0,031009;0,030167;0,026998;0,027019;0,031376;0,022958;0,031312;0,029356;0,027289;0,025431;0,030632;0,027777;0,031489;0,030015;0,030011;0,030922;0,028878;0,025375;0,026703;0,027704;0,029035;0,028079;0,030004;0,027765;0,026199;0,02844;NA;0,030793;0,033066;0,024039;0,030319;NA;0,028124;0,030646;0,028831;0,027448;0,025688;0,027694;0,030147;0,03092;0,027937;0,029471;0,029216;0,030478;0,03135;0,02976;0,027657;0,027603;0,029248;0,028199;0,030372;0,02704;0,030651;0,029828;0,027516;0,026151;0,029419;0,032009;0,029673;0,035626;0,026894;0,032846;0,027251;0,031533;0,030832;0,029386;0,029647;0,027728;0,029506;0,028915;0,029622;0,032408;0,0295;NA;0,025471;0,028248;0,030117;0,028204;0,029233;0,033405;0,026749;0,027846;0,031336;0,029499;0,02936;0,029791;0,027412;0,025276;0,033159;0,025241;0,028606;0,028678;0,026541;0,029881;0,030883;0,029388;0,027899;0,027952;0,023822;0,028584;0,029047;NA;0,029739;0,031708;0,030002;0,025639;0,030021;0,027603;0,027129;0,031909;0,026824;0,029673;0,029241;0,028064;0,026;0,028321;0,032699;0,029233;0,031542;0,025859;0,026729;0,031892;0,027447;0,030616;0,029957;0,031405;0,02873;0,027161;0,030892;0,026423;NA;0,027424;0,025982;0,025352;0,029296;0,029711;0,026714;0,0284;0,027463;0,027625;0,028187;0,027654;0,03335;0,026583;0,030756;0,023704;0,031608;0,03282;0,02956;0,025296;0,028666;0,027869;0,029427;0,02877;NA
